,tweet_id,text,Sentiment
0,1.27E+18,"Yep, @amazon real easy to cancel now. I support all people. Not BLM RIOTERS ! HOPE ALL WILL CANCEL LIKE I DID!",-1
1,1.27E+18,@amazon disgusting. Real classy Amazon.   @nypost @NJSPBA https://t.co/TPGRNonUcq,-1
2,1.27E+18,Check out this Amazon deal: #SamsungGalaxy S10 Lite New Unlocked Android Cell Phone | 128GB of Storage | GSM &amp; CDMAâ€¦ https://t.co/G0L5TeXoER,0
3,1.27E+18,"RT @KennethCFilson: A Ripple In The Darkness by Kenneth C. Filson 
#KindleUnlimited #Horror #RevengeðŸ”ª #CampingðŸ•ï¸ #WitchðŸ§™ðŸ»â€â™€ï¸ #Ghost ðŸ˜±#LoveðŸ’•â€¦",0
4,1.27E+18,@midgets_levil @krokdrib @Jaxx702 @Marir65Ruiz @GregMusselwhit3 @USMCMIL03 @Dallasneedslung @amazon @pepsiâ€¦ https://t.co/aTCHVLaLHU,0
5,1.27E+18,"-&gt;@IBM will no longer offer, develop, or research #facialrecognition technology
@ArvindKrishna @verge @NIST @amazonâ€¦ https://t.co/5N3ZXSpQDm",0
6,1.27E+18,"@flipkartsupport On Amazon I Am Also Using FUN-ZONE (Daily Quiz , Karigar , Saheli , And ,FortuneWheel , Occassionâ€¦ https://t.co/KpxhKN4sNn",0
7,1.27E+18,RT @lindsayromantic: #romance #paperback #feelgoodfiction A Summer Bewitchment (The Knight and the Witch) by Lindsay Townsend https://t.co/â€¦,0
8,1.27E+18,#Google - #Pixel3a with 64GB Memory Cell Phone (Unlocked) - Just Black - G020G by Google https://t.co/WdCdPZfm7V via @amazon,0
9,1.27E+18,@midgets_levil @krokdrib @Jaxx702 @50Texans @GregMusselwhit3 @USMCMIL03 @Dallasneedslung @amazon @pepsi @ultabeautyâ€¦ https://t.co/GIL8MMvFjk,0
10,1.27E+18,"@AmazonHelp Sir what is your team doing 
You are here only because to make your customer fool or something else ifâ€¦ https://t.co/be1pALH8tY",0
11,1.27E+18,"RT @GhouliaChilds: 13 DAY SPOOKY COUNTDOWN  Advent Calendar Funko
pre-order now and save $10.00
@amazon affiliate link: https://t.co/rvSNDvâ€¦",0
